Feature	Gain	Cover	Frequency	pos
ctrx_quarter_normalizado_rank	0.169529203740651	0.0202306675080592	0.00572818581293158	1
ctrx_quarter_normalizado	0.131888962882592	0.0116305716826143	0.00290332705586943	2
mdescubierto_preacordado_tend6	0.0361132942122511	0.00761239400390719	0.00298179535467671	3
mcaja_ahorro_rank	0.034813844709925	0.0129751713684169	0.00674827369742624	4
mcuentas_saldo_rank	0.0276493229402583	0.00627337484337062	0.00659133709981168	5
mtarjeta_visa_consumo_rank	0.0241890868453293	0.0156810048996603	0.00666980539861896	6
ctrx_quarter_rank	0.0227757486930472	0.00467439834546377	0.00392341494036409	7
foto_mes	0.0176422519906939	0.0237614776085132	0.0204802259887006	8
mv_status01_tend6	0.0170595823724002	0.0121616729831631	0.00298179535467671	9
mtarjeta_visa_consumo	0.0150225071657172	0.00678767318745844	0.00462962962962963	10
mv_status07_delta2	0.0105867091305355	0.00230638352244289	0.000863151286880101	11
cpayroll_trx	0.0104074485044389	0.0129880766527856	0.00274639045825487	12
mprestamos_personales	0.0101517013765269	0.0113331363355059	0.00784682988072819	13
tmobile_app_rank	0.00956072371709568	0.0172203398534772	0.0149089767733836	14
cpayroll_trx_min3	0.00954108798779614	0.00328044860671266	0.00188323917137476	15
mprestamos_personales_delta2	0.00920113730622819	0.0140695118615829	0.00674827369742624	16
internet_rank	0.00914234691436301	0.0123066847991965	0.0158505963590709	17
cproductos_tend6	0.00871843818747916	0.00948865764633495	0.00714061519146265	18
mpayroll_sobre_edad_rank	0.00864038646365351	0.00824830790136394	0.0073760200878845	19
mprestamos_personales_min3	0.00848285710883021	0.00128259498619216	0.00243251726302574	20
mcuentas_saldo	0.00813008664520783	0.00570182368598962	0.00572818581293158	21
ccomisiones_mantenimiento_tend6	0.00767830705317605	0.0167831049316242	0.00800376647834275	22
mpayroll_sobre_edad	0.00671249565233146	0.00854606038189719	0.00376647834274953	23
mpasivos_margen	0.00640217059040467	0.0118645240791481	0.00753295668549906	24
ccaja_ahorro	0.00623072420847623	0.0131468581975231	0.00651286880100439	25
mcaja_ahorro	0.00601832059322613	0.00312660820533632	0.00368801004394225	26
cproductos_delta2	0.00599855907489928	0.00855376877014277	0.00376647834274953	27
tcallcenter_tend6	0.00582349504948276	0.0184701166452542	0.00933772755806654	28
mcuentas_saldo_delta2	0.00529590075557492	0.00674415429748271	0.0102008788449466	29
mcaja_ahorro_dolares_delta1	0.00509303906282377	0.0141981708460163	0.0104362837413685	30
mprestamos_personales_tend6	0.00497333893958463	0.00862385014197603	0.00564971751412429	31
ctrx_quarter	0.0049004136031355	0.00608660371636384	0.00439422473320778	32
cproductos_rank	0.00469537522696051	0.0103597157481963	0.00988700564971752	33
Visa_cconsumos_avg6	0.00468913737700394	0.00768023498154565	0.0123195229127433	34
mdescubierto_preacordado	0.00461477102355632	0.00144414377581409	0.00149089767733836	35
ctarjeta_visa_trx_tend6	0.00449793522318142	0.00617684352089508	0.00816070307595731	36
mtarjeta_visa_consumo_delta2	0.00449611245091004	0.00632743586219448	0.00588512241054614	37
Visa_cconsumos_tend6	0.004488765352265	0.00558356360885766	0.010593220338983	38
mv_mpagominimo_lag2	0.00442089733082177	0.00944737915055403	0.00768989328311362	39
ctrx_quarter_delta1	0.00433779078858982	0.00781917522700999	0.00965160075329567	40
mv_status01	0.00432992372383456	0.00153627615078385	0.00149089767733836	41
mtransferencias_emitidas_avg6	0.0043213942310411	0.0072668617923839	0.00965160075329567	42
mcuenta_corriente	0.00427079644154008	0.00569150150451677	0.0060420590081607	43
mcuentas_saldo_tend6	0.00422366017461443	0.00347131689296609	0.00918079096045198	44
mdescubierto_preacordado_rank	0.00416525632377125	0.00291548430033538	0.00886691776522285	45
Visa_fultimo_cierre_avg6	0.00411245071697335	0.00716323588829149	0.0117702448210923	46
Master_fechaalta	0.00406387067664619	0.00362153072017778	0.00808223477715003	47
Visa_fechaalta_tend6	0.00403156775235493	0.00633981941092876	0.00721908349026993	48
mpayroll_rank	0.0040195683355849	0.00786272480731715	0.00698367859384809	49
