experimento	fecha	cols	rows	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8101HTa	20220701 022926	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.19694239888282	0.298903689744475	558	2723	109	0.00489145056427704	11656	12704000	1
8101HTa	20220701 023028	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.101150194537477	0.54364797862363	944	5062	60	0.0212564932255867	9368	13192000	2
8101HTa	20220701 023142	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.109115315997624	0.677252665029664	219	5631	52	0.0201543068717877	9566	13834000	3
8101HTa	20220701 023306	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.219439874800737	0.631269203702686	353	3023	103	0.00633113486821803	9622	13538000	4
8101HTa	20220701 023432	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.157621125917649	0.877927442401415	419	1483	87	0.00683962598507372	9130	12470000	5
8101HTa	20220701 023517	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.171037877826602	0.47209830184438	311	3705	26	0.0159180886637029	11276	13804000	6
8101HTa	20220701 023534	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.191502237080131	0.154010101330641	151	565	11	0.0199875542995956	8112	10968000	7
8101HTa	20220701 023749	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0663912301760865	0.760789069002203	727	4945	310	0.0177470413944722	7838	13522000	8
8101HTa	20220701 023846	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0529878902470227	0.230676010684692	992	7942	296	0.0190589703845861	9498	13422000	9
8101HTa	20220701 023944	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.29231876291451	0.423570122741512	876	6593	174	0.00517620367528311	8866	10814000	10
8101HTa	20220701 024016	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.250807821118506	0.810647150408477	33	4031	28	0.0222569124159504	8944	13496000	11
8101HTa	20220701 024123	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.277056618221686	0.585277161101112	589	93	215	3.96208305897356e-56	7526	11074000	12
8101HTa	20220701 024203	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.137662147222436	0.326340661995346	476	7196	85	0.0207606068313434	9272	13648000	13
8101HTa	20220701 024300	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0739846953656524	0.951967658573994	121	2069	41	0.017038368746288	10152	14208000	14
8101HTa	20220701 024810	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0256584717152873	0.193567493767478	833	1788	578	0.00664401756760527	11370	14310000	15
8101HTa	20220701 024934	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.239024838924524	0.926109886700578	663	6186	135	0.00767786245493088	10006	12314000	16
8101HTa	20220701 025130	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200086270368994	0.470141446175446	186	3099	188	0.0169895576488379	10926	14754000	17
8101HTa	20220701 025218	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0339975201044051	0.100067353909631	364	3611	280	0.0183199247652596	10106	14734000	18
8101HTa	20220701 025415	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0455623958016521	0.402312514107427	324	3134	440	0.00766680646315623	10442	13798000	19
8101HTa	20220701 025530	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200185850627381	0.100392176362883	39	4743	1123	0.0186731651347849	9996	14724000	20
8101HTa	20220701 025718	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200734337647619	0.65998236972201	16	2037	486	0.0145096600996477	11880	1.5e+07	21
8101HTa	20220701 030005	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200421964974809	0.993101437568962	26	3453	1019	0.0186102841914727	9782	13978000	22
8101HTa	20220701 030332	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200448183496638	0.616036845490984	23	7174	1217	0.0249313594824304	7986	14814000	23
8101HTa	20220701 030538	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200512750812447	0.579901712295384	18	55	668	0.0143919592633482	12008	14392000	24
8101HTa	20220701 030818	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200357799043378	0.699716493521171	149	4016	355	0.0203248747685653	9356	13684000	25
8101HTa	20220701 030915	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200095620800884	0.100690729067373	17	7554	885	0.0137558514582638	12374	14626000	26
8101HTa	20220701 031035	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200150532857309	0.103334157406113	16	2342	1570	0.0174236528122796	10196	14524000	27
8101HTa	20220701 031207	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200081302058789	0.194960918369239	192	5250	495	0.0156000247049381	11118	14922000	28
8101HTa	20220701 031312	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200114222711258	0.396134633119756	16	6911	353	0.014098834917951	12398	14362000	29
8101HTa	20220701 031411	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200307300163871	0.10031321348934	511	5628	417	0.0209409944955715	9344	14656000	30
8101HTa	20220701 031601	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200010160121615	0.539014707535179	150	1908	330	0.0194751627929133	9194	14566000	31
8101HTa	20220701 031741	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.020143020956432	0.503867449575153	16	2777	635	0.0165793193558061	10760	14560000	32
8101HTa	20220701 031900	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0542289958117585	0.659029313234348	16	3114	460	0.0206492152300077	9384	14616000	33
8101HTa	20220701 032003	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0202156391015688	0.100061902199468	232	6592	494	0.0217817632056105	9008	14872000	34
8101HTa	20220701 032203	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0347628783856651	0.6532102052787	19	1371	819	0.0166916652680415	10674	14646000	35
8101HTa	20220701 032258	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.020023573848637	0.100862487104892	205	1442	317	0.0168274500932253	10648	14912000	36
