fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220517 193729	-0.859883949259529	6346	1406	12	5	9356000	1
20220517 193842	-0.55541328315594	5616	611	14	5	9672000	2
20220517 193948	-0.230247021514515	3132	1295	10	5	9812000	3
20220517 194050	-0.323478998157952	4796	1744	7	5	9586000	4
20220517 194245	-0.72997662796115	2348	210	20	5	10006000	5
20220517 194326	-0.0932965852989581	2778	775	5	5	10767000	6
20220517 194442	-0.384032005124027	4060	2	9	5	10452000	7
20220517 194534	-0.280339144624304	7578	883	7	5	8252000	8
20220517 194651	-0.915461425919784	5054	717	16	5	9672000	9
20220517 194754	-0.687911071100098	7039	1918	13	5	8929000	10
20220517 194850	-0.14491822040145	6973	1035	16	5	8401000	11
20220517 194915	0.0914257177471882	1396	370	11	5	0	12
20220517 194952	-0.991719183366513	3967	1847	5	5	8817000	13
20220517 195036	-0.183864089287817	1834	178	6	5	10339000	14
20220517 195123	-0.358882598547886	6393	1915	9	5	9194000	15
20220517 195224	-0.978396756139894	3431	865	17	5	10542000	16
20220517 195256	-0.127901380041716	2952	1471	3	5	8790000	17
20220517 195343	-0.098021324744016	59	1	6	5	10058000	18
20220517 195511	-0.335229798540252	207	103	18	5	5982000	19
20220517 195608	-0.510049656487084	1685	707	10	5	10523000	20
20220517 195723	-0.961167173724404	2062	837	20	5	10293000	21
20220517 195811	-0.454819041452432	2900	73	6	5	10210000	22
20220517 195911	-0.619047652638957	3234	2	9	5	10987000	23
20220517 200016	-0.761600210076224	15	1	9	5	9999000	24
20220517 200107	-0.612394241303533	2482	1210	8	5	9857000	25
20220517 200255	-0.999913497285324	992	1	18	5	9744000	26
20220517 200429	-0.555222261006865	4674	1	10	5	10091000	27
20220517 200602	-0.448460300210364	86	34	9	5	8e+06	28
20220517 200637	-0.401475525640727	4066	816	3	5	8620000	29
20220517 200714	-0.994166910633882	4358	174	3	5	8550000	30
20220517 200750	0.0561887207580136	1567	756	16	5	0	31
20220517 200822	-0.0966482092476668	4922	2	3	5	8101000	32
20220517 200938	-0.681408028878807	3392	352	10	5	10420000	33
20220517 201051	-0.126683818565961	1486	738	7	5	10165000	34
20220517 201205	-0.490201519161895	6401	1	8	5	9814000	35
20220517 201413	-0.64022577925231	737	1	17	5	9867000	36
20220517 201503	-0.633839315398855	2937	5	3	5	8083000	37
20220517 201622	-0.767582305942032	2251	1123	17	5	9388000	38
20220517 201800	-0.998386421689151	1680	832	12	5	10325000	39
20220517 202055	-0.625965136999531	2398	6	12	5	9933000	40
20220517 202338	-0.934727205532753	3072	2	9	5	10987000	41
20220517 202559	-0.521729724591408	3809	1888	20	5	9231000	42
20220517 202748	-0.498130537814027	3401	673	9	5	10509000	43
20220517 202934	-0.824580587488385	3846	1	8	5	9912000	44
20220517 203150	-0.999927756944141	7265	5	9	5	8016000	45
20220517 203319	-0.923890431826003	1415	634	9	5	10155000	46
20220517 203414	-0.989019423101817	3676	1838	15	5	8821000	47
20220517 203512	-0.501674179016442	2964	1479	12	5	9640000	48
20220517 203637	-0.952877298116731	2890	3	11	5	10860000	49
20220517 203747	-0.609999072917085	2067	769	20	5	10108000	50
20220517 203857	-0.970105155347768	812	1	9	5	10101000	51
20220517 203954	-0.333805629224141	2811	733	7	5	10824000	52
20220517 204059	-0.628509716723394	7999	704	20	5	8123000	53
20220517 204207	-0.610997070661811	2077	255	9	5	10031000	54
20220517 204312	-0.967632853634414	3347	848	10	5	10536000	55
20220517 204414	-0.388493434356817	2686	1016	8	5	10566000	56
20220517 204458	-0.204194100225991	1673	833	5	5	10856000	57
20220517 204548	-0.211361727339204	2975	862	6	5	10790000	58
20220517 204642	-0.271644867220652	7246	2000	20	5	8892000	59
20220517 204846	-0.999921687590637	3663	1	20	5	9890000	60
20220517 204951	-0.408042308344828	6118	1098	17	5	9640000	61
20220517 205037	-0.12326967504975	1444	721	5	5	10980000	62
20220517 205152	-0.91043643692138	2950	1	10	5	10721000	63
20220517 205242	-0.300645368530248	3263	2	6	5	9840000	64
20220517 205436	-0.647892253716912	3620	1	18	5	9914000	65
20220517 205552	-0.9612749502161	2959	476	14	5	10584000	66
20220517 205706	-0.659442200057355	4419	2	9	5	10303000	67
20220517 205818	-0.713298285115009	3073	2	9	5	10987000	68
20220517 205930	-0.999187757090444	3106	4	9	5	10572000	69
20220517 210023	-0.151432025395679	2252	687	5	5	10940000	70
20220517 210103	-0.096729167005072	1296	556	4	5	10192000	71
20220517 210222	-0.696114361341023	2644	814	11	5	10655000	72
20220517 210333	-0.378961882413759	3275	790	10	5	10777000	73
20220517 210423	-0.140139070970141	1843	860	5	5	10560000	74
20220517 210521	-0.211416935735857	1528	700	6	5	10382000	75
20220517 210615	-0.193546162145394	2943	744	5	5	10766000	76
20220517 210712	-0.188712719277012	2671	210	6	5	10184000	77
20220517 210815	-0.736886872543911	3482	1100	9	5	10007000	78
20220517 210901	-0.0500445871980296	1128	92	5	5	10952000	79
20220517 210948	-0.116095124693978	1887	133	5	5	10903000	80
20220517 211054	-0.512512760362684	3194	1072	10	5	10288000	81
20220517 211146	-0.239186231180619	2591	1261	5	5	9920000	82
20220517 211248	-0.289304278470842	7998	2000	15	5	8123000	83
20220517 211406	-0.946263377953542	3017	179	9	5	10468000	84
20220517 211523	-0.537668138683979	2767	827	15	5	10842000	85
20220517 211642	-0.695121536057408	1738	574	16	5	10194000	86
20220517 211827	-0.945752317589554	3060	1	15	5	10634000	87
20220517 211933	-0.335780175482331	2655	845	7	5	10662000	88
20220517 212038	-0.21525276213808	3679	795	8	5	10292000	89
20220517 212144	-0.593676232274322	2781	731	10	5	10824000	90
20220517 212216	-0.0586945307132527	277	138	3	5	8550000	91
20220517 212331	-0.945725725983409	3956	1978	10	5	9105000	92
20220517 212426	-0.373269031497928	3647	535	7	5	10186000	93
20220517 212516	-0.497484435672571	1501	714	5	5	10978000	94
20220517 212610	-0.898804987329586	40	20	5	5	10512000	95
20220517 212806	-0.641658252666639	3018	3	15	5	10643000	96
20220517 212900	-0.721183648642663	1482	739	5	5	10802000	97
20220517 212955	-0.93620919497945	1916	952	5	5	10279000	98
20220517 213110	-0.0114033621446561	3490	1484	7	5	9640000	99
20220517 213221	-0.893655283336973	2793	668	11	5	10898000	100
20220517 213341	-0.689856286543334	1752	825	14	5	10017000	101
20220517 213557	-0.971405051160429	3209	1	13	5	10780000	102
20220517 213741	-0.999992357471083	3274	266	17	5	10498000	103
20220517 213831	-0.353841188030525	1685	719	5	5	11080000	104
20220517 213944	-0.999926181451415	3432	700	19	5	10509000	105
20220517 214048	-0.999637987099984	5340	2000	20	5	9161000	106
20220517 214123	-0.929445832895154	2794	1397	3	5	8016000	107
20220517 214209	-0.590755135622901	979	1	5	5	8987000	108
20220517 214257	-0.428567219023255	2188	743	5	5	10956000	109
20220517 214350	-0.94756089824171	2576	1	6	5	10112000	110
20220517 214455	-0.0768711860889219	2973	709	6	5	10757000	111
20220517 214628	-0.956821077108487	3390	676	12	5	10509000	112
20220517 214800	-0.775387181097614	2279	731	10	5	10593000	113
20220517 214923	-0.998831719252033	2982	1254	11	5	9920000	114
20220517 215114	-0.550685619580386	3428	364	16	5	10381000	115
20220517 215230	-0.10337469381619	2512	1	7	5	10214000	116
