fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220525 184506	1553	22	336	20	5	10843000	1
20220525 191233	901	5	235	36	5	10853000	2
20220525 210943	2006	13	271	28	5	11260000	3
20220525 221648	1102	19	136	25	5	10754000	4
20220525 232229	1378	9	495	31	5	11533000	5
20220525 234604	605	11	312	20	5	11559000	6
20220526 001829	1176	30	209	11	5	11240000	7
20220526 005242	2085	3	111	32	5	10195000	8
20220526 005928	187	14	57	16	5	10479000	9
20220526 013423	1622	16	406	9	5	12053000	10
20220526 050305	1782	25	28	45	5	8530000	11
20220526 054658	444	24	360	39	5	9971000	12
20220526 055259	2295	1	164	5	5	-1000	13
20220526 103514	2362	20	430	48	5	10549000	14
20220526 103854	374	28	451	2	5	11776000	15
20220526 112509	817	8	65	42	5	11136000	16
20220526 113641	431	18	500	11	5	11933000	17
20220526 122449	1081	15	500	20	5	11514000	18
20220526 124027	1633	21	500	2	5	10712000	19
20220526 152714	2500	8	438	50	5	11005000	20
20220526 152948	100	26	381	9	5	11523000	21
20220526 160415	1205	17	374	12	5	11701000	22
20220526 160633	108	15	500	8	5	11554000	23
20220526 170757	2493	17	499	10	5	11995000	24
20220526 175255	2386	30	500	7	5	11984000	25
20220526 175757	249	30	500	7	5	11826000	26
20220526 183024	1582	28	500	8	5	12163000	27
20220526 183646	101	11	343	31	5	11263000	28
20220526 214003	2500	11	500	40	5	11225000	29
20220527 000706	2471	30	500	24	5	11239000	30
20220527 022121	2498	9	1	35	5	11419000	31
20220527 023955	477	28	500	16	5	11473000	32
20220527 032047	1710	16	500	10	5	11982000	33
20220527 041827	2493	28	446	9	5	12069000	34
20220527 045901	2416	2	1	50	5	9287000	35
20220527 053007	1831	29	412	6	5	11807000	36
20220527 060220	1589	18	477	8	5	12086000	37
20220527 061527	108	16	500	50	5	10670000	38
20220527 080212	2500	11	442	23	5	11623000	39
20220527 085155	2187	27	500	9	5	12313000	40
20220527 094422	2497	26	500	8	5	12266000	41
20220527 103838	2499	18	2	8	5	10963000	42
20220527 112745	1980	25	500	10	5	12151000	43
20220527 115620	677	9	1	27	5	11112000	44
20220527 130442	2500	26	500	11	5	12099000	45
20220527 132318	886	27	500	8	5	12059000	46
20220527 141305	2192	19	436	9	5	12102000	47
20220527 160433	851	30	500	50	5	9982000	48
20220527 161219	100	30	500	29	5	10550000	49
20220527 161843	100	8	500	45	5	11010000	50
20220527 162700	195	10	499	24	5	11603000	51
20220527 162819	100	30	1	2	5	9777000	52
20220527 193550	2499	19	500	31	5	11352000	53
20220527 212921	2500	8	337	33	5	11394000	54
20220527 233400	2500	18	437	21	5	11284000	55
20220528 002306	2165	26	500	9	5	12305000	56
20220528 003350	527	18	295	8	5	11733000	57
20220528 011602	2033	27	499	8	5	12226000	58
20220528 015045	1404	30	500	10	5	11899000	59
20220528 021440	2400	29	500	2	5	10845000	60
20220528 030814	2358	24	500	9	5	12167000	61
20220528 065718	2500	30	500	36	5	10602000	62
20220528 070237	365	25	500	5	5	11361000	63
20220528 072711	301	10	172	50	5	11336000	64
20220528 091527	1304	11	349	47	5	11211000	65
20220528 120403	2489	25	500	27	5	11120000	66
20220528 120620	214	1	500	50	5	5730000	67
20220528 153311	2500	10	1	50	5	11167000	68
20220528 154156	137	19	500	25	5	10692000	69
20220528 155909	769	17	451	9	5	11962000	70
20220528 165451	2361	25	299	9	5	11996000	71
20220528 175505	2465	21	499	9	5	12198000	72
20220528 182536	491	10	500	37	5	11499000	73
20220528 212004	2500	30	1	27	5	8824000	74
20220528 222612	1612	10	180	24	5	11864000	75
20220528 235430	1555	10	165	34	5	11317000	76
20220529 014831	2500	12	22	23	5	11121000	77
20220529 035736	2500	7	153	44	5	10933000	78
20220529 043650	1706	27	487	9	5	12194000	79
20220529 053119	2383	18	260	9	5	11776000	80
20220529 062834	1292	11	388	24	5	11551000	81
20220529 081206	2470	9	158	27	5	11405000	82
20220529 082247	100	14	1	47	5	9841000	83
20220529 085726	1547	20	500	9	5	12319000	84
20220529 093250	1565	20	400	9	5	12145000	85
20220529 101419	1832	20	500	9	5	12305000	86
20220529 105008	1597	19	500	9	5	12371000	87
20220529 105347	100	8	237	23	5	11927000	88
20220529 114635	1686	8	500	22	5	11308000	89
20220529 161401	2498	14	491	50	5	10966000	90
20220529 162026	100	9	262	39	5	1.1e+07	91
20220529 162431	100	7	146	31	5	11455000	92
20220529 190021	1918	16	500	36	5	10946000	93
20220529 200305	2500	27	148	8	5	11799000	94
20220529 203749	1512	19	184	9	5	11941000	95
20220529 223629	2495	30	500	17	5	11417000	96
