fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220605 215634	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	20	TRUE	442837	0.237740808475181	0.725520423483104	3175	580	0.0267968509326844	11247000	1
20220605 215648	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	60	TRUE	442837	0.100910149144474	0.304780814666301	6703	121	0.0315037727132828	10885000	2
20220605 215658	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	25	TRUE	442837	0.166087457842543	0.780566032025963	2276	476	0.0366069165897594	9835000	3
20220605 215709	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	442837	0.135966342721716	0.656906069433317	3718	212	0.0203595303823628	12670000	4
20220605 215721	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	442837	0.1778439140548	0.333669384373352	4083	980	0.0177223087302991	12251000	5
20220605 215755	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	180	TRUE	442837	0.0332804469852708	0.422134444369003	5630	46	0.0413540983000227	9247000	6
20220605 215811	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	77	TRUE	442837	0.140902848103782	0.39570370009169	4782	963	0.0391864394133639	9021000	7
20220605 215829	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	102	TRUE	442837	0.0427942896971945	0.687424168307334	6041	886	0.0125665196707511	13187000	8
20220605 215850	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	28	TRUE	442837	0.077651588652865	0.907191082984209	307	233	0.011914706150128	11254000	9
20220605 215858	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	34	TRUE	442837	0.296473544178414	0.984900247501209	5214	555	0.0431579850429747	8054000	10
20220605 215908	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	31	TRUE	442837	0.243407971865148	0.608956402326003	4833	293	0.0209315534768393	11662000	11
20220605 215920	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	49	TRUE	442837	0.0837161604681751	0.944739784086123	3305	832	0.0345914151354615	10058000	12
20220605 215941	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	26	TRUE	442837	0.186339878225466	0.495661476841196	1089	89	0.027906343646949	10294000	13
20220605 215956	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	7	TRUE	442837	0.060183050250751	0.452123640067875	2452	430	0.00849471365266557	12239000	14
20220605 220006	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	24	TRUE	442837	0.270015886996523	0.528456894448027	7551	741	0.0156086295387164	12912000	15
20220605 220018	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	442837	0.226848815632053	0.565326826442033	7666	650	0.0483057520978036	8051000	16
20220605 220032	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	17	TRUE	442837	0.207347754053539	0.861948788631707	530	416	0.0472474147002989	6514000	17
20220605 220142	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	456	TRUE	442837	0.0172893395186402	0.243004939956591	1750	700	0.0446616849304216	8203000	18
20220605 220151	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	16	TRUE	442837	0.274176976054441	0.20743393516168	1586	812	0.0297281206798895	9689000	19
20220605 220200	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	25	TRUE	442837	0.11876437738107	0.829780354136601	7056	327	0.022948586892259	11797000	20
20220605 220212	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	38	TRUE	442837	0.109683299856236	0.606104611958691	6562	698	0.014893437399826	13211000	21
20220605 220221	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	45	TRUE	442837	0.170780160557415	0.656885040793876	7998	918	0.00833456649194531	11478000	22
20220605 220328	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	404	TRUE	442837	0.0100365193008397	0.652896317879646	3840	744	0.0166885710888984	13362000	23
20220605 220507	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	455	TRUE	442837	0.0106049004448499	0.501424041110056	4786	822	0.0136000213913774	13051000	24
20220605 220520	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	55	TRUE	442837	0.0802414395699268	0.688895878161758	3996	915	0.0161048556117377	13213000	25
20220605 220545	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	158	TRUE	442837	0.0263581800839224	0.683841181654634	5757	487	0.0171176294590151	12888000	26
20220605 220636	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	191	TRUE	442837	0.0123922037524449	0.666556182297549	2447	753	0.0196440401640899	12932000	27
20220605 220702	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	74	TRUE	442837	0.0529963736578851	0.669293159734295	3916	712	0.0154491264393432	13331000	28
20220605 220820	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	418	TRUE	442837	0.0100344000855803	0.647431111790298	3556	815	0.0139239601885277	13393000	29
20220605 220832	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	43	TRUE	442837	0.131838024541629	0.628703373845131	3461	725	0.0164838361971696	12625000	30
20220605 220846	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	56	TRUE	442837	0.10139565385302	0.311626032288372	8000	774	0.015392027359566	12946000	31
20220605 220855	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	22	TRUE	442837	0.299791331297482	0.259613419579366	7989	927	0.014503796476036	11738000	32
20220605 220911	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	54	TRUE	442837	0.0723987227387607	0.569373388598342	7559	997	0.0159305624619314	13298000	33
20220605 220924	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	41	TRUE	442837	0.108414454425483	0.45580330892852	7557	35	0.0153080910194236	13076000	34
20220605 220943	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	78	TRUE	442837	0.0423321690240102	0.639638369136907	5047	868	0.0154692811037294	13079000	35
20220605 221051	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	463	TRUE	442837	0.0101837979464553	0.720335914852703	3763	753	0.0137845231039282	13297000	36
20220605 221118	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	55	TRUE	442837	0.0755425941950543	0.553782187465395	3769	203	0.0173950414421005	13289000	37
20220605 221131	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	55	TRUE	442837	0.0766682217556714	0.627476652888791	7978	767	0.0132205974402433	13085000	38
20220605 221147	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	442837	0.0959710351276246	0.480761305297082	6960	653	0.0173178404358332	12503000	39
20220605 221306	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	381	TRUE	442837	0.0100134610106389	0.561837068515131	6526	47	0.0135434596496191	13077000	40
20220605 221440	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	460	TRUE	442837	0.0100286601387101	0.579074180592216	2961	128	0.015507273124643	13370000	41
20220605 221453	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	442837	0.120695770388535	0.554981278000504	7175	134	0.014353919865937	12735000	42
20220605 221552	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	480	TRUE	442837	0.0100721233067856	0.657308130936232	3142	16	0.0182077526681217	13147000	43
20220605 221715	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	536	TRUE	442837	0.0101133941780078	0.629485608988226	3253	1024	0.0112400750606361	13329000	44
20220605 221727	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	22	TRUE	442837	0.206579119523484	0.886650729196769	7957	1003	0.0153566248833731	12892000	45
20220605 221846	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	467	TRUE	442837	0.0102196472921947	0.639722446294699	2565	552	0.0161514930617787	13069000	46
20220605 221904	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	442837	0.0639805217606039	0.428662665057694	3799	18	0.0152549668057425	13591000	47
20220605 222021	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	548	TRUE	442837	0.0104502097372375	0.20971968844262	3716	19	0.016620310169219	13168000	48
20220605 222038	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	442837	0.0701425858550722	0.611469069198628	3671	1024	0.0142365370928195	13425000	49
20220605 222055	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	74	TRUE	442837	0.0648614445604608	0.606485608912544	3901	16	0.0156507281037153	13434000	50
20220605 222110	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	58	TRUE	442837	0.0717314481185953	0.22917462273574	3608	83	0.0149921390940193	13507000	51
20220605 222212	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	570	TRUE	442837	0.0101364799780779	0.716156969316627	7780	1021	0.0101201414386958	12398000	52
20220605 222305	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	321	TRUE	442837	0.0163776229782535	0.291752662968651	3572	17	0.0121804484981706	13499000	53
20220605 222413	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	345	TRUE	442837	0.0129152732748336	0.363176899658038	3597	26	0.0147001322685601	13626000	54
20220605 222434	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	97	TRUE	442837	0.0657921146740944	0.309604976553507	3406	1022	0.0119661982154384	13282000	55
20220605 222547	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	520	TRUE	442837	0.0100151005390694	0.774581111509602	3451	1023	0.0177359313405936	13043000	56
20220605 222719	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	752	TRUE	442837	0.0103277054980885	0.63120393434977	3698	156	0.0217298005779552	12485000	57
20220605 222745	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	67	TRUE	442837	0.0509866897937352	0.366779859818279	3739	82	0.0147548701510244	13278000	58
20220605 222754	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	15	TRUE	442837	0.234184631169603	0.586600083787601	6016	1023	0.0146287630776129	13074000	59
20220605 222806	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	58	TRUE	442837	0.187160737836958	0.206887927929061	3810	16	0.0152224919307236	11880000	60
20220605 222813	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	15	TRUE	442837	0.269127842166878	0.99766800771043	5821	1020	0.0156231659680109	12896000	61
20220605 222827	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	58	TRUE	442837	0.104151634082567	0.269497535441036	3062	16	0.0153473189371756	12699000	62
20220605 222845	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	442837	0.0701801182077898	0.401088711877601	6174	25	0.015168444958757	12955000	63
20220605 222852	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	18	TRUE	442837	0.251355651877844	0.971386846892649	7997	814	0.012218182818299	12793000	64
20220605 222900	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	21	TRUE	442837	0.247857377182749	0.887703950153114	7999	1023	0.0177491351852956	12681000	65
20220605 222910	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	8	TRUE	442837	0.260764732942381	0.697022637960664	1037	935	0.0127678344511999	11845000	66
20220605 222928	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	88	TRUE	442837	0.0685077588925378	0.200005297774711	3618	1013	0.0139873381550764	13044000	67
20220605 222938	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	38	TRUE	442837	0.111250852807661	0.731387442312937	7982	1021	0.0150920269019226	12593000	68
