fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220604 211917	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	23	TRUE	0.217750523427851	0.5363895736821	4832	417	0.0181735914826277	12330000	1
20220604 211927	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	20	TRUE	0.262629048448522	0.518638953194022	3246	198	0.0356527224226738	10174000	2
20220604 211950	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	109	TRUE	0.036898490973399	0.885004547005519	2932	583	0.0299927564143824	11051000	3
20220604 212000	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	37	TRUE	0.279166210806114	0.281587257571518	6727	516	0.0462173342064489	8230000	4
20220604 212012	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	33	TRUE	0.168285793430987	0.57115846416913	5318	853	0.015146272147831	13089000	5
20220604 212023	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	19	TRUE	0.139948063945281	0.839263802897185	1811	528	0.0252827874064678	11706000	6
20220604 212031	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	41	TRUE	0.206141464264598	0.700631159776822	6086	346	0.0211608381796395	12627000	7
20220604 212041	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	23	TRUE	0.177916054197238	0.749378264369443	2234	269	0.0454991983773652	8211000	8
20220604 212129	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	288	TRUE	0.0115046981787309	0.87994517066516	5632	267	0.0238497658841273	12128000	9
20220604 212201	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	195	TRUE	0.0401832493869588	0.416064185677096	7491	949	0.0389367950512678	9889000	10
20220604 212216	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	0.142297624834697	0.33261412053369	734	455	0.0284865397935694	10548000	11
20220604 212226	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	16	TRUE	0.2486072602364	0.372111406764016	1530	753	0.0127311166894894	11391000	12
20220604 212238	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	13	TRUE	0.291861393656698	0.798458170620725	859	685	0.0343099979974795	8497000	13
20220604 212250	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	47	TRUE	0.112654176415759	0.233640256179497	4595	803	0.00887783305709794	11862000	14
20220604 212312	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	89	TRUE	0.0570990687992889	0.442028336385265	4292	130	0.0402677718016397	9902000	15
20220604 212326	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	106	TRUE	0.0713723679827526	0.999105197405443	7892	111	0.0483678208411827	8227000	16
20220604 212342	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	107	TRUE	0.105436977282632	0.920980162061751	3779	906	0.0206141800348026	12766000	17
20220604 212405	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	29	TRUE	0.0865581531252246	0.251540271500126	275	989	0.0325804516348095	8300000	18
20220604 212415	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	30	TRUE	0.197279327411437	0.675284027075395	2787	36	0.0115456782344457	12196000	19
