fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220426 115938	0	0	0	1	hist	lossguide	256	0	1	0.107253132812795	0.40841709506698	10	703	0.0455510726484742	42	7255000	1
20220426 120018	0	0	0	1	hist	lossguide	256	0	1	0.0780396029242547	0.754766730833799	5	442	0.0214332764512316	24	10716000	2
20220426 120045	0	0	0	1	hist	lossguide	256	0	1	0.142940565689001	0.786612482536584	9	535	0.0374860200735081	26	8564000	3
20220426 120109	0	0	0	1	hist	lossguide	256	0	1	0.264558034148649	0.444273635270074	4	290	0.040453093709948	8	7272000	4
20220426 120139	0	0	0	1	hist	lossguide	256	0	1	0.179545114900684	0.647616564184427	3	600	0.042263310799899	8	6410000	5
20220426 120207	0	0	0	1	hist	lossguide	256	0	1	0.23491577003256	0.683776189181954	2	826	0.0305702556894782	7	7488000	6
20220426 120237	0	0	0	1	hist	lossguide	256	0	1	0.116628406433272	0.358328379839659	6	49	0.0169247733846229	23	12317000	7
20220426 120302	0	0	0	1	hist	lossguide	256	0	1	0.157357429142226	0.499523922083899	7	208	0.0462174653963302	17	6904000	8
20220426 120454	0	0	0	1	hist	lossguide	256	0	1	0.0492741289456608	0.951954369638115	0	191	0.0149497157845569	42	1117000	9
20220426 120527	0	0	0	1	hist	lossguide	256	0	1	0.0833540350483963	0.542240798864514	8	804	0.0196472049249375	28	12325000	10
20220426 120552	0	0	0	1	hist	lossguide	256	0	1	0.208980691424804	0.619373163329437	5	392	0.025230888153601	10	9953000	11
20220426 120735	0	0	0	1	hist	lossguide	256	0	1	0.0241384695168817	0.900199789982289	4	622	0.0276415576183354	74	10397000	12
20220426 120808	0	0	0	1	hist	lossguide	256	0	1	0.248299488205346	0.309730556355789	1	1019	0.0137133433944352	8	7659000	13
20220426 120833	0	0	0	1	hist	lossguide	256	0	1	0.226195928012603	0.963576510641724	3	768	0.00937049255492942	2	9176000	14
20220426 120858	0	0	0	1	hist	lossguide	256	0	1	0.137974129685434	0.872683698767796	10	134	0.0328714462234833	16	10424000	15
20220426 121003	0	0	0	1	hist	lossguide	256	0	1	0.0644215553475078	0.370779767148197	1	943	0.0339685206995152	23	5529000	16
20220426 121026	0	0	0	1	hist	lossguide	256	0	1	0.189121417579241	0.216853072689846	9	476	0.0485829560949545	20	6747000	17
20220426 121047	0	0	0	1	hist	lossguide	256	0	1	0.29848676632368	0.248905619196594	6	319	0.0112824412630289	7	10648000	18
20220426 121106	0	0	0	1	hist	lossguide	256	0	1	0.282622351200087	0.838845615163446	8	878	0.0387427949036161	6	8065000	19
20220426 121211	0	0	0	1	hist	lossguide	256	0	1	0.0359808382148622	0.585140472389758	0	82	0.0240614356443984	35	1344000	20
20220426 121554	0	0	0	1	hist	lossguide	256	0	1	0.0143204677052736	0.345045324594353	8	2	0.014184587112138	2014	13123000	21
