fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220604 233843	0	0	0	1	auto	depthwise	256	0	1	0.18175805015571	0.752236697664485	1	10	0.0331838518798274	14	6727000	1
20220604 234535	0	0	0	1	auto	depthwise	256	0	1	0.0779106790598016	0.699294983837754	5	11	0.0193087709301229	44	12768000	2
20220604 234746	0	0	0	1	auto	depthwise	256	0	1	0.16375099070475	0.296469302522019	5	8	0.024107625130758	44	10708000	3
20220604 235247	0	0	0	1	auto	depthwise	256	0	1	0.091115453226841	0.531047242963687	3	12	0.0256832531832818	27	10010000	4
20220604 235638	0	0	0	1	auto	depthwise	256	0	1	0.225037980751134	0.48046365137212	4	25	0.036137746386036	12	7063000	5
20220605 000228	0	0	0	1	auto	depthwise	256	0	1	0.135971588692861	0.667520278263837	9	19	0.0410265567261376	34	7763000	6
20220605 000646	0	0	0	1	auto	depthwise	256	0	1	0.099996740445029	0.360912954229862	6	14	0.0131686414189365	51	12400000	7
20220605 003144	0	0	0	1	auto	depthwise	256	0	1	0.0269866592577891	0.998297613775358	8	15	0.03952098681184	143	9138000	8
20220605 003345	0	0	0	1	auto	depthwise	256	0	1	0.191960367468302	0.573471751483157	4	4	0.0215000851579437	47	11005000	9
20220605 003728	0	0	0	1	auto	depthwise	256	0	1	0.124721586023807	0.341254151714966	7	26	0.0272658248436831	27	9569000	10
20220605 003926	0	0	0	1	auto	depthwise	256	0	1	0.229266080524772	0.251266971193254	9	21	0.043867985366281	18	6636000	11
20220605 010704	0	0	0	1	auto	depthwise	256	0	1	0.010846808578237	0.933450173875317	2	7	0.0124545114367114	169	13316000	12
20220605 011010	0	0	0	1	auto	depthwise	256	0	1	0.153552941809408	0.407365528168157	0	20	0.015019839949673	2	4286000	13
20220605 011153	0	0	0	1	auto	depthwise	256	0	1	0.265193241170724	0.876962922420353	8	2	0.0167478936671008	55	12431000	14
20220605 011733	0	0	0	1	auto	depthwise	256	0	1	0.244439825069276	0.908190992642194	10	22	0.0461915858114177	20	6575000	15
20220605 012241	0	0	0	1	auto	depthwise	256	0	1	0.211295145480777	0.762306346613914	10	24	0.00999172890587943	21	11858000	16
20220605 012418	0	0	0	1	auto	depthwise	256	0	1	0.285863334823516	0.206349286343902	2	17	0.0420507462331443	2	6056000	17
20220605 013211	0	0	0	1	auto	depthwise	256	0	1	0.0625443205853226	0.47116707152687	0	28	0.0488594307321667	2	581000	18
20220605 013725	0	0	0	1	auto	depthwise	256	0	1	0.278282387341955	0.822016183175147	3	30	0.035146252065897	1	8788000	19
20220605 014253	0	0	0	1	auto	depthwise	256	0	1	0.0444667993147159	0.637455413062125	7	5	0.0299129280062819	101	11584000	20
20220605 015934	0	0	0	1	auto	depthwise	256	0	1	0.0110996861245026	0.989826990844245	5	5	0.00833689841622796	39	11958000	21
20220605 020700	0	0	0	1	auto	depthwise	256	0	1	0.0452188005690667	0.678375446581375	8	8	0.0117913573095351	70	13686000	22
20220605 021252	0	0	0	1	auto	depthwise	256	0	1	0.103647300760239	0.729833137845807	7	11	0.00968347856601782	37	12700000	23
