fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220604 233539	0	0	0	1	hist	lossguide	256	0	1	0.11591538172774	0.756744814375415	2	114	0.0256767940241844	8	7172000	1
20220604 233622	0	0	0	1	hist	lossguide	256	0	1	0.0873753612084547	0.313529544845223	6	180	0.0141391419980209	34	12161000	2
20220604 233650	0	0	0	1	hist	lossguide	256	0	1	0.180839959189994	0.622623169356957	9	904	0.0337934954261679	12	9313000	3
20220604 233718	0	0	0	1	hist	lossguide	256	0	1	0.23544080748444	0.555859521459788	4	682	0.0304206146009771	3	8996000	4
20220604 233815	0	0	0	1	hist	lossguide	256	0	1	0.0615017472419422	0.668823014171794	5	575	0.0413639852898389	45	7126000	5
20220604 233849	0	0	0	1	hist	lossguide	256	0	1	0.192091451903223	0.977268811296672	2	480	0.0365953516341203	7	5957000	6
20220604 233956	0	0	0	1	hist	lossguide	256	0	1	0.049019871207769	0.716263181222603	3	958	0.0153521163912956	26	11946000	7
20220604 234029	0	0	0	1	hist	lossguide	256	0	1	0.145101373489364	0.474752242341638	7	560	0.0316562460357091	21	9615000	8
20220604 234103	0	0	0	1	hist	lossguide	256	0	1	0.22017419877043	0.362923243576661	1	718	0.0463998156536642	2	7065000	9
20220604 234130	0	0	0	1	hist	lossguide	256	0	1	0.212417473351001	0.80142552590929	8	96	0.0238032786932308	14	11033000	10
20220604 234225	0	0	0	1	hist	lossguide	256	0	1	0.0689901246209629	0.410720839314163	2	418	0.0116327966054087	13	11768000	11
20220604 234255	0	0	0	1	hist	lossguide	256	0	1	0.102672513323021	0.85768878409639	0	25	0.0198737793568095	15	9433000	12
20220604 234322	0	0	0	1	hist	lossguide	256	0	1	0.263316968189552	0.957536947187036	6	778	0.009071740610428	9	10645000	13
20220604 234346	0	0	0	1	hist	lossguide	256	0	1	0.293512753342278	0.585772440992296	8	238	0.0424072417100736	9	8297000	14
20220604 234419	0	0	0	1	hist	lossguide	256	0	1	0.165446566128987	0.761605772553012	5	847	0.0395151818195397	17	7078000	15
20220604 234728	0	0	0	1	hist	lossguide	256	0	1	0.0131797082567355	0.357604572596028	4	297	0.0275965555207222	176	10317000	16
20220604 234751	0	0	0	1	hist	lossguide	256	0	1	0.279684604189242	0.244410172961652	10	661	0.0167156504520487	10	11636000	17
20220604 234904	0	0	0	1	hist	lossguide	256	0	1	0.0374250206571305	0.912839570641518	10	322	0.0442944303955301	92	7661000	18
20220604 234938	0	0	0	1	hist	lossguide	256	0	1	0.138122498660465	0.223144237380475	8	977	0.049219787393425	31	7125000	19
20220604 235002	0	0	0	1	hist	lossguide	256	0	1	0.250793588622706	0.48888932870701	0	363	0.0213975377822256	1	2215000	20
20220604 235113	0	0	0	1	hist	lossguide	256	0	1	0.0455412024470373	0.448243835743087	5	574	0.0121030079842385	47	12620000	21
20220604 235251	0	0	0	1	hist	lossguide	256	0	1	0.0264951715165177	0.851962316625414	4	116	0.0114849533165095	38	12424000	22
20220604 235339	0	0	0	1	hist	lossguide	256	0	1	0.0708602178386788	0.909122322075179	7	568	0.0116383538503695	31	12737000	23
20220604 235503	0	0	0	1	hist	lossguide	256	0	1	0.0289403931034024	0.707008272425469	7	400	0.015356370436198	67	12761000	24
20220604 235535	0	0	0	1	hist	lossguide	256	0	1	0.134336159842302	0.613963669468271	9	579	0.0137724328498693	15	12049000	25
20220604 235632	0	0	0	1	hist	lossguide	256	0	1	0.0528557206101494	0.937072834215028	6	474	0.0152486268012223	29	11849000	26
20220604 235739	0	0	0	1	hist	lossguide	256	0	1	0.0296650415369455	0.479104132503702	7	333	0.00853073435877255	17	12381000	27
20220604 235832	0	0	0	1	hist	lossguide	256	0	1	0.0620557248046824	0.438340839081898	8	863	0.0131547441294975	50	13135000	28
20220605 000136	0	0	0	1	hist	lossguide	256	0	1	0.0106335929547247	0.638860397420962	7	844	0.0122674308749345	135	13141000	29
20220605 000556	0	0	0	1	hist	lossguide	256	0	1	0.0107542138852979	0.503906013892998	8	3	0.0169618954321595	1617	13116000	30
20220605 000937	0	0	0	1	hist	lossguide	256	0	1	0.0101521290805659	0.207279573910128	8	645	0.0145940709029551	306	13024000	31
20220605 001155	0	0	0	1	hist	lossguide	256	0	1	0.01519771274088	0.680894463606027	9	711	0.0122982807148954	146	13501000	32
20220605 001336	0	0	0	1	hist	lossguide	256	0	1	0.0178179499056056	0.626235426039877	10	11	0.0128120268634295	205	13417000	33
20220605 001505	0	0	0	1	hist	lossguide	256	0	1	0.0287025976918748	0.46114467338784	10	199	0.0163616462096975	130	12718000	34
20220605 001741	0	0	0	1	hist	lossguide	256	0	1	0.0100287468197176	0.807714977760943	9	20	0.0124400534458541	184	13085000	35
20220605 001904	0	0	0	1	hist	lossguide	256	0	1	0.0290171937213236	0.637794567614042	10	1022	0.0112159333610824	100	13412000	36
20220605 002041	0	0	0	1	hist	lossguide	256	0	1	0.0250828643544906	0.564430066394788	10	682	0.0115315026197343	128	13019000	37
20220605 002229	0	0	0	1	hist	lossguide	256	0	1	0.0195904178583513	0.730075389518946	9	1023	0.0129910272277921	101	13453000	38
20220605 002333	0	0	0	1	hist	lossguide	256	0	1	0.0580493417685766	0.641768628584195	9	2	0.0125030304191485	383	13097000	39
20220605 002414	0	0	0	1	hist	lossguide	256	0	1	0.0648802697530286	0.774136575240091	9	1024	0.0084474598234309	11	11962000	40
20220605 002722	0	0	0	1	hist	lossguide	256	0	1	0.0102668820985432	0.657672742285682	10	1014	0.01298060086154	209	13483000	41
20220605 003323	0	0	0	1	hist	lossguide	256	0	1	0.0102659315304114	0.353270819779098	8	3	0.0128942325144125	2540	13253000	42
20220605 003528	0	0	0	1	hist	lossguide	256	0	1	0.0186678535425515	0.631627102996017	8	532	0.0123292833713191	120	13264000	43
20220605 003659	0	0	0	1	hist	lossguide	256	0	1	0.02635999781379	0.67697503876838	9	868	0.0127359145678813	94	13361000	44
20220605 004021	0	0	0	1	hist	lossguide	256	0	1	0.0103834960417136	0.438331522534278	9	1022	0.0116491197480633	266	13224000	45
20220605 004432	0	0	0	1	hist	lossguide	256	0	1	0.0101059005969217	0.637253479548501	8	735	0.0199095810950936	402	11773000	46
20220605 005028	0	0	0	1	hist	lossguide	256	0	1	0.0100545937058609	0.730811929549084	10	2	0.0178314087633589	2792	13127000	47
20220605 005302	0	0	0	1	hist	lossguide	256	0	1	0.0113141843579998	0.80382516402604	10	1023	0.0120381407203666	110	13448000	48
20220605 011354	0	0	0	1	hist	lossguide	256	0	1	0.0100107777446404	0.897882041385622	0	683	0.0104127733823503	155	2113000	49
20220605 011651	0	0	0	1	hist	lossguide	256	0	1	0.0122435143484322	0.213988199939129	3	48	0.0120544486577678	226	13083000	50
20220605 011744	0	0	0	1	hist	lossguide	256	0	1	0.0592384883179214	0.217752731847515	3	2	0.0137367083442716	332	13042000	51
20220605 012104	0	0	0	1	hist	lossguide	256	0	1	0.0110286704845908	0.200954508291365	4	61	0.0141570967610656	230	12585000	52
20220605 012151	0	0	0	1	hist	lossguide	256	0	1	0.0733682040513754	0.295458305690573	4	892	0.0099417389520138	19	12290000	53
20220605 012226	0	0	0	1	hist	lossguide	256	0	1	0.0813228724344506	0.410884934826137	3	3	0.00833729677087382	141	11884000	54
20220605 012355	0	0	0	1	hist	lossguide	256	0	1	0.0343315973680739	0.3237814191865	3	342	0.0134769487746751	59	12399000	55
20220605 012437	0	0	0	1	hist	lossguide	256	0	1	0.0679962467450768	0.226998648745654	7	1023	0.0121924007831992	18	12426000	56
20220605 012529	0	0	0	1	hist	lossguide	256	0	1	0.0639402693746962	0.704402072958291	10	1024	0.0134237790850889	40	12547000	57
20220605 012656	0	0	0	1	hist	lossguide	256	0	1	0.0318117675717602	0.596942931770963	8	715	0.0124588335704142	111	12901000	58
20220605 012731	0	0	0	1	hist	lossguide	256	0	1	0.0734906695274597	0.459153363191883	8	6	0.0149707647642425	93	13425000	59
20220605 012812	0	0	0	1	hist	lossguide	256	0	1	0.0765847375081495	0.201022425899548	8	468	0.0137856874744611	28	12502000	60
20220605 012903	0	0	0	1	hist	lossguide	256	0	1	0.0622070046621841	0.588906646784302	7	78	0.013290226288724	40	12844000	61
20220605 012943	0	0	0	1	hist	lossguide	256	0	1	0.0987721175088642	0.6535995068744	7	863	0.0148277461704248	29	12951000	62
20220605 013035	0	0	0	1	hist	lossguide	256	0	1	0.0970835086372139	0.649460078410257	9	2	0.0159597427639809	351	13135000	63
20220605 013103	0	0	0	1	hist	lossguide	256	0	1	0.110804866463757	0.868668527469587	8	8	0.0143036312438306	50	13276000	64
20220605 013155	0	0	0	1	hist	lossguide	256	0	1	0.125188981366302	0.453448334424012	8	3	0.0150145039564324	315	13058000	65
20220605 013225	0	0	0	1	hist	lossguide	256	0	1	0.0966271368582976	0.744858742391628	4	2	0.0144079807754507	131	12953000	66
20220605 013550	0	0	0	1	hist	lossguide	256	0	1	0.0101102511419174	0.683001355495129	10	255	0.0108783828024457	269	13112000	67
20220605 013631	0	0	0	1	hist	lossguide	256	0	1	0.198204162335878	0.73159172631887	8	2	0.0133771664564734	222	13055000	68
20220605 013933	0	0	0	1	hist	lossguide	256	0	1	0.0107481768159672	0.284430905024608	6	922	0.0151072065853722	125	12784000	69
20220605 014145	0	0	0	1	hist	lossguide	256	0	1	0.0201202261962107	0.777906975813288	2	2	0.0134066560873163	921	12831000	70
20220605 014206	0	0	0	1	hist	lossguide	256	0	1	0.29420952675508	0.730845163944406	10	2	0.014555269036032	86	12967000	71
20220605 014230	0	0	0	1	hist	lossguide	256	0	1	0.297729283790398	0.935683150993561	8	123	0.0164582294064607	4	11110000	72
20220605 014530	0	0	0	1	hist	lossguide	256	0	1	0.0105654379079897	0.680036434912799	10	2	0.0146771724718898	1171	13094000	73
20220605 014611	0	0	0	1	hist	lossguide	256	0	1	0.206324891514358	0.714618946889785	10	2	0.0188489689994646	272	13354000	74
20220605 014710	0	0	0	1	hist	lossguide	256	0	1	0.0730344738768684	0.239893215083034	10	17	0.0189793539359675	136	13017000	75
20220605 014734	0	0	0	1	hist	lossguide	256	0	1	0.212419843890945	0.608550716884702	10	2	0.0118032887393095	110	12900000	76
20220605 014841	0	0	0	1	hist	lossguide	256	0	1	0.0792396418258614	0.450199925846437	10	2	0.0227745138412871	486	12903000	77
20220605 015142	0	0	0	1	hist	lossguide	256	0	1	0.0145551014598057	0.361169315943578	2	2	0.0142805642899257	1319	12957000	78
20220605 015521	0	0	0	1	hist	lossguide	256	0	1	0.0100024366482359	0.891988070990668	8	966	0.0141819361914361	244	13081000	79
