Feature	Gain	Cover	Frequency
mpayroll	0.0904795129264769	0.0633076490627931	0.0243204577968527
mcaja_ahorro	0.08357484685795	0.029582115568111	0.039103481163567
mpasivos_margen	0.0711242207777003	0.0392307033960011	0.0338578922269909
ctrx_quarter	0.0675373750189278	0.0439603472668432	0.0357653791130186
mtarjeta_visa_consumo	0.0671948629507194	0.0198658272348435	0.0243204577968527
ctarjeta_visa_trx	0.0558040667077563	0.0179775302920971	0.0157367668097282
cpayroll_trx	0.0473921634177529	0.0259141201531256	0.00524558893657606
mprestamos_personales	0.0462544182644383	0.0238710348655153	0.0104911778731521
mrentabilidad_annual	0.0283484239355031	0.0262847824616982	0.028135431568908
mcuentas_saldo	0.0274964401641451	0.0341787920531203	0.0305197901764425
mactivos_margen	0.0233523406295166	0.0206678944767167	0.0205054840247973
Visa_fechaalta	0.0182588301675084	0.00691582303724883	0.0147830233667144
Visa_msaldototal	0.0178093878767812	0.0126626241271208	0.0119217930376729
cliente_edad	0.0177275652915884	0.0278077416712045	0.0338578922269909
chomebanking_trx	0.0174810161765868	0.0180241121597294	0.0262279446828803
Master_Fvencimiento	0.0146005923108904	0.0202676856749651	0.0271816881258941
mcomisiones_otras	0.0129123466896588	0.0103904351027365	0.0181211254172628
mcomisiones_mantenimiento	0.0128087455398934	0.0106526296052268	0.0100143061516452
mcaja_ahorro_dolares	0.0120559985933982	0.0211302178796626	0.028135431568908
cliente_antiguedad	0.0114850846042605	0.0116142544434888	0.0214592274678112
Master_fechaalta	0.0108401789964752	0.0244783304483717	0.0233667143538388
mrentabilidad	0.010201277223037	0.0100911155703976	0.0185979971387697
ccomisiones_otras	0.00987822594451617	0.0152723193621485	0.0152598950882213
Master_mfinanciacion_limite	0.00981360202850016	0.0105235331529947	0.016690510252742
mautoservicio	0.00921713443461504	0.018101220503731	0.0205054840247973
Visa_mfinanciacion_limite	0.00906288472491364	0.0186970992824236	0.0195517405817835
Visa_mpagominimo	0.00906196395923944	0.0110197149751558	0.0176442536957558
numero_de_cliente	0.00855932193656017	0.00950823790202585	0.0157367668097282
mcuenta_corriente	0.00838935207294878	0.0105622424890005	0.011444921316166
cproductos	0.00833330036707006	0.00859294993559877	0.011444921316166
ctarjeta_debito_trx	0.00819296618140871	0.0114199564430138	0.0119217930376729
Visa_mpagospesos	0.00818679729906335	0.0150619006381977	0.022412970910825
Visa_Fvencimiento	0.00809408454219299	0.00794588336828062	0.0138292799237005
Visa_mlimitecompra	0.00794168411050737	0.0109433742846531	0.0143061516452074
Visa_msaldopesos	0.00766918733675462	0.0209406074654466	0.0190748688602766
Master_mpagospesos	0.00741347607403073	0.0264494523037282	0.0176442536957558
mtarjeta_visa_debitos_automaticos	0.00621034763888332	0.00907227604689154	0.0123986647591798
mtransferencias_recibidas	0.00611371748813105	0.00534770293573564	0.011444921316166
ctransferencias_recibidas	0.00578370774739651	0.0155854239913605	0.00906056270863138
mtransferencias_emitidas	0.00563704070074531	0.00776613811817748	0.0119217930376729
Master_msaldopesos	0.0055038712891999	0.00691397740224096	0.00619933237958989
mpagomiscuentas	0.0054417757931663	0.0151843658708441	0.00906056270863138
ccaja_ahorro	0.00511829330356206	0.0205066382427987	0.00619933237958989
ctarjeta_visa_trx2	0.00506288719485804	0.00648699872634851	0.0104911778731521
Visa_mconsumototal	0.00489253387874	0.00727139360469503	0.0123986647591798
Master_mlimitecompra	0.00488154497182732	0.00772002990908696	0.0104911778731521
Visa_mconsumospesos	0.00479589388414285	0.00951555510984468	0.0162136385312351
Visa_cconsumos	0.00431894922093357	0.0064772478936078	0.010968049594659
mcuenta_debitos_automaticos	0.00298032485841415	0.00715162332582122	0.00810681926561755
mcomisiones	0.00295236918457516	0.00342273828862922	0.00810681926561755
Master_cconsumos	0.00260016226219549	0.00436667443031127	0.0033381020505484
cprestamos_personales	0.00253708291628445	0.000937157924617733	0.00143061516452074
ctarjeta_debito	0.00251946993005569	0.00613319212864435	0.00572246065808298
Visa_mconsumosdolares	0.00241508914243432	0.00608296799015574	0.00524558893657606
mplazo_fijo_dolares	0.00214467115961423	0.0154742448984525	0.0033381020505484
mtarjeta_visa_descuentos	0.00209940905857465	0.0176663039639993	0.00953743443013829
cpagomiscuentas	0.00206478891520096	0.00356264722205798	0.00524558893657606
ccallcenter_trx	0.00200705761998201	0.00742605128513362	0.00286123032904149
ccaja_seguridad	0.00188327155772236	0.0104672494517811	0.00286123032904149
Visa_mpagado	0.00185678060020741	0.010397033656216	0.00572246065808298
cseguro_accidentes_personales	0.00180667270288346	0.00443635123512181	0.00238435860753457
Visa_fultimo_cierre	0.00174036472934274	0.00237750455120527	0.00381497377205532
cextraccion_autoservicio	0.00144855304587175	0.00443244763541489	0.00619933237958989
Master_mconsumospesos	0.00140821175275428	0.00259770677400314	0.00286123032904149
mextraccion_autoservicio	0.00128270908199789	0.00702558115453126	0.0123986647591798
ccomisiones_mantenimiento	0.00127707005471482	0.00256358702593722	0.0033381020505484
cmobile_app_trx	0.0012709860843846	0.00129060519515222	0.00381497377205532
thomebanking	0.00121627234060175	0.00290156689512253	0.00238435860753457
catm_trx	0.00113188701016119	0.00426078724662943	0.00381497377205532
Visa_mpagosdolares	0.00109420986406215	0.00174098913623302	0.00190748688602766
Master_fultimo_cierre	0.00105434598576363	0.00628958111271865	0.00667620410109681
Master_mpagominimo	0.000975479139491379	0.00288783079740906	0.00381497377205532
matm	0.000857999792209861	0.0036129203597061	0.00715307582260372
mtarjeta_master_consumo	0.000855913581680804	0.00395124322300791	0.00238435860753457
Master_msaldototal	0.000813579813701382	0.000797020328444633	0.00190748688602766
ctransferencias_emitidas	0.000780469501163326	0.00236790071594305	0.00286123032904149
Visa_delinquency	0.000553535192113016	0.000618026398787173	0.000476871721506915
ccajas_consultas	0.000534493881234727	0.00467786809230266	0.000953743443013829
Master_status	0.000482702003809888	0.00024680876640696	0.000953743443013829
Master_mpagosdolares	0.000430529361335746	0.000376460542446829	0.000476871721506915
ctarjeta_visa_debitos_automaticos	0.000416704987866566	0.00157548630849152	0.00190748688602766
ccajas_trx	0.000356029372068711	0.00148065660180376	0.000953743443013829
tcallcenter	0.000312887012071709	0.00180057211418633	0.000953743443013829
ccuenta_debitos_automaticos	0.000282446346352315	0.00201412678434523	0.00143061516452074
cplazo_fijo	0.000272476923135487	0.00135231147001725	0.000476871721506915
mttarjeta_master_debitos_automaticos	0.000242150185945118	0.000744836223575978	0.000476871721506915
Master_mpagado	0.000224978732719988	0.000734154406804742	0.000476871721506915
catm_trx_other	0.000186895904407026	0.00187095124028306	0.000953743443013829
internet	0.000157886486043425	0.000376199213596156	0.000476871721506915
ctarjeta_visa_descuentos	0.000134187590974309	0.00326535298831174	0.00238435860753457
Master_mconsumosdolares	2.26550888648217e-05	0.000203689506046006	0.000953743443013829
cforex	1.39079456062983e-13	0.000278984881146005	0.000476871721506915
