Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.0658051640338147	0.00527167665918907	0.00370532556337791
mcuentas_saldo	0.0367368076701051	0.0115824112954021	0.00791592279448917
mpasivos_margen	0.0326454457902229	0.00471540656123486	0.00345830385915272
ctarjeta_visa_trx	0.0258540878216599	0.00528901499532446	0.0044127058982046
mcaja_ahorro_lag1	0.0227450771969125	0.00367949924332107	0.00507517319589944
ctrx_quarter	0.0221167173478021	0.00407544699518157	0.00312145608066381
mv_status01_mean6	0.020643020287448	0.00314243327569415	0.00133616285467264
ctrx_quarter_mean6	0.0147779491746334	0.00262225957513867	0.00337970604417197
mcaja_ahorro	0.0147022999893654	0.00388185265668838	0.00435656460178979
mpayroll	0.0144209349267734	0.00774246979985099	0.0023916192272712
mdescubierto_preacordado_delta1	0.0127531340314195	0.00599737731924886	0.000538956445582241
mv_status07	0.0125914388653004	0.00107224380113537	0.000258249963508157
ctrx_quarter_lag1	0.0125023976841193	0.00210536017834807	0.00355935819269939
mpasivos_margen_lag1	0.0119543756794114	0.00294719581280754	0.00490674930665499
tmobile_app	0.011869903057288	0.0017439739341574	0.00268355396862824
mv_mpagospesos	0.0110955378581097	0.00174312374038136	0.00213336926376304
mv_status01	0.010899495445022	0.00118017774290775	0.000482815149167425
mv_status07_delta1	0.010477929088339	0.000432568818391293	0.000202108667093341
cpayroll_trx	0.00969276743557186	0.00412942864659092	0.000606326001280022
ctrx_quarter_normalizado_mean6	0.00943468142114326	0.00278146364833776	0.00439024937963867
mprestamos_personales	0.00908296319215676	0.0112003410147296	0.00247021704225194
mdescubierto_preacordado	0.00835930763232737	0.00288035976766271	0.000707380334826692
ctrx_quarter_normalizado_lag1	0.00833480785480431	0.00247295327478402	0.00368286904481198
foto_mes	0.00831195604958447	0.015710690575568	0.00456990152816609
mpayroll_sobre_edad	0.00773431973244646	0.00653639898787411	0.00178529322599117
mtarjeta_visa_consumo	0.00753353858338	0.00397912680616261	0.00316636911779567
mdescubierto_preacordado_mean6	0.00670446880122521	0.00276685862501131	0.000976858557617813
mpayroll_lag1	0.00654695142896724	0.00274924929188939	0.0015944128181808
mautoservicio	0.00651809609659618	0.00308941461189407	0.0023916192272712
mpayroll_sobre_edad_lag1	0.00616282708383063	0.00187132801966928	0.00142598892893635
mcaja_ahorro_mean6	0.00548838492666225	0.00411047408515734	0.00541202097438834
