Feature	Gain	Cover	Frequency
ctrx_quarter	0.196229555419067	0.0161755227620206	0.0067351598173516
mdescubierto_preacordado_tend6	0.159200288385558	0.0135047262434105	0.0067351598173516
mcuentas_saldo	0.0391345952051239	0.0113179488799598	0.0100456621004566
mtarjeta_visa_consumo	0.033860731151412	0.00666206684548989	0.00445205479452055
mcaja_ahorro	0.0272399508138703	0.00564662641620872	0.00502283105022831
mprestamos_personales	0.0217760102535176	0.00580770425669656	0.00639269406392694
mprestamos_personales_tend6	0.0183174158803081	0.0055926921451415	0.00627853881278539
mpayroll	0.0179077807473046	0.0107745866394504	0.00388127853881279
cpayroll_trx	0.0166622102857433	0.00689726500851615	0.00251141552511416
foto_mes	0.0129201627961685	0.0108299527316274	0.0122146118721461
Visa_status	0.0115402686764942	0.00150682989377507	0.00102739726027397
ccomisiones_mantenimiento_tend6	0.00901012281346908	0.0050851553929836	0.00342465753424658
mcuentas_saldo_tend6	0.00825745644082302	0.00331095260328245	0.00525114155251142
mpasivos_margen	0.00748277470148873	0.00266529301401383	0.00353881278538813
ctarjeta_visa_trx	0.00573345679944097	0.00204286214231019	0.00205479452054795
mactivos_margen	0.00497013411617401	0.00295950580536456	0.0045662100456621
tcallcenter_tend6	0.00491776376040595	0.00609726094778123	0.00342465753424658
mcuenta_corriente_avg6	0.00489485896905214	0.00602310659591135	0.00993150684931507
cprestamos_personales_tend6	0.00466319444916836	0.00275615909658919	0.00125570776255708
ctarjeta_master	0.00462288060061834	1.27643282555762e-05	0.000114155251141553
mtarjeta_visa_consumo_tend6	0.00438476714255105	0.00057080504691545	0.00182648401826484
Visa_fechaalta_tend6	0.00431855113531786	0.00628296529761238	0.00410958904109589
mcomisiones_mantenimiento_tend6	0.00399149898187137	0.00800918820948454	0.0067351598173516
mactivos_margen_avg6	0.00385461247925834	0.00384814665757986	0.00502283105022831
ccaja_ahorro	0.0038543091553941	0.00255967151740817	0.00251141552511416
mrentabilidad_avg6	0.00364880069032951	0.00334139442946583	0.004337899543379
ctrx_quarter_delta1	0.0035740907383095	0.00235730648086876	0.00650684931506849
Visa_status_tend6	0.00356869480721108	0.000832526484630129	0.00091324200913242
mcuenta_corriente_tend6	0.00356806505824453	0.00362268569184498	0.00684931506849315
ctarjeta_visa_debitos_automaticos_tend6	0.00331272325548379	0.000752787623559666	0.00296803652968037
mcaja_ahorro_dolares_delta1	0.00330428258135745	0.00503837319966856	0.00422374429223744
mcomisiones_mantenimiento_avg6	0.00326907002085203	0.00417369528483299	0.00410958904109589
Visa_Finiciomora	0.00319363424359991	0.00735065517616923	0.00273972602739726
cliente_edad_avg6	0.00302319440032985	0.00495231523969873	0.00650684931506849
mcuenta_corriente	0.00295563198127703	0.00369606772584423	0.00547945205479452
cproductos_delta1	0.00280084950086732	0.00207096519172345	0.00148401826484018
